iter	Passed	Remaining
667	1518	754
668	1519	751
669	1520	749
670	1523	747
671	1525	744
672	1527	742
673	1528	739
674	1529	736
675	1530	733
676	1532	730
677	1533	728
678	1534	725
679	1535	722
680	1539	720
681	1541	718
682	1542	715
683	1543	713
684	1545	710
685	1546	707
686	1547	705
687	1548	702
688	1549	699
689	1551	696
690	1552	694
691	1554	691
692	1555	689
693	1557	686
694	1558	683
695	1559	681
696	1560	678
697	1562	675
698	1563	673
699	1564	670
700	1565	667
701	1567	665
702	1569	663
703	1571	660
704	1572	658
705	1574	655
706	1575	652
707	1576	650
708	1578	647
709	1579	645
710	1580	642
711	1581	639
712	1584	637
713	1586	635
714	1587	632
715	1588	630
716	1589	627
717	1591	624
718	1592	622
719	1593	619
720	1594	617
721	1595	614
722	1597	612
723	1599	609
724	1601	607
725	1602	604
726	1603	602
727	1604	599
728	1606	597
729	1607	594
730	1608	591
731	1609	589
732	1610	586
733	1612	584
734	1614	582
735	1616	579
736	1617	577
737	1618	574
738	1619	572
739	1620	569
740	1621	566
741	1623	564
742	1624	561
743	1625	559
744	1626	556
745	1628	554
746	1630	552
747	1631	549
748	1632	547
749	1634	544
750	1635	542
751	1636	539
752	1637	537
753	1639	534
754	1640	532
755	1641	529
756	1642	527
757	1645	525
758	1646	522
759	1648	520
760	1649	518
761	1651	515
762	1652	513
763	1653	510
764	1654	508
765	1656	505
766	1657	503
767	1661	501
768	1662	499
769	1664	497
770	1665	494
771	1667	492
772	1668	489
773	1669	487
774	1670	485
775	1672	482
776	1675	480
777	1677	478
778	1678	476
779	1680	473
780	1682	471
781	1683	469
782	1684	466
783	1685	464
784	1687	462
785	1690	460
786	1692	458
787	1694	455
788	1695	453
789	1696	451
790	1697	448
791	1699	446
792	1700	443
793	1701	441
794	1702	439
795	1706	437
796	1707	434
797	1709	432
798	1710	430
799	1711	427
800	1712	425
801	1714	423
802	1715	420
803	1716	418
804	1717	416
805	1720	414
806	1721	411
807	1723	409
808	1724	407
809	1725	404
810	1727	402
811	1728	400
812	1729	397
813	1730	395
