iter	Passed	Remaining
896	1246	143
897	1247	141
898	1248	140
899	1249	138
900	1251	137
901	1252	136
902	1253	134
903	1254	133
904	1255	131
905	1256	130
906	1258	129
907	1259	127
908	1260	126
909	1261	124
910	1262	123
911	1264	121
912	1265	120
913	1266	119
914	1267	117
915	1269	116
916	1270	114
917	1271	113
918	1272	112
919	1273	110
920	1274	109
921	1276	107
922	1277	106
923	1278	105
924	1279	103
925	1281	102
926	1282	100
927	1283	99
928	1284	98
929	1285	96
930	1287	95
931	1288	93
932	1289	92
933	1290	91
934	1291	89
935	1292	88
936	1293	87
937	1295	85
938	1296	84
939	1297	82
940	1298	81
941	1300	80
942	1301	78
943	1302	77
944	1303	75
945	1304	74
946	1306	73
947	1307	71
948	1308	70
949	1309	68
950	1311	67
951	1312	66
952	1313	64
953	1314	63
954	1315	62
955	1317	60
956	1318	59
957	1319	57
958	1320	56
959	1322	55
960	1323	53
961	1324	52
962	1325	50
963	1327	49
964	1328	48
965	1329	46
966	1330	45
967	1331	44
968	1333	42
969	1334	41
970	1335	39
971	1336	38
972	1338	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1344	30
978	1345	28
979	1346	27
980	1347	26
981	1348	24
982	1350	23
983	1351	21
984	1352	20
985	1353	19
986	1354	17
987	1356	16
988	1357	15
989	1358	13
990	1359	12
991	1360	10
992	1362	9
993	1363	8
994	1364	6
995	1365	5
996	1366	4
997	1368	2
998	1369	1
999	1370	0
